X,Y,Cu_ppm
1674518,7249382,12.5
1673483,7246086,4.8
1672308,7248744,3.7
1673975,7244180,3.5
1672129,7243594,2.2
1669868,7243710,5.2
1670692,7247144,2.9
1671932,7225441,8.5
1673597,7228860,10.3
1673088,7231142,11.5
1671108,7230450,3.7
1669814,7233632,4.8
1669864,7236011,8.4
1670698,7238661,4.7
1673153,7239506,7.5
1672437,7236387,6.6
1674246,7233183,6.9
1671941,7233994,6.1
1670123,7228819,7
1673030,7240770,4.7
1671278,7241964,6.7
1673894,7251282,6.5
1671349,7251078,7.9
1700799,7213442,20.6
1702755,7213935,19
1701891,7216618,16.7
1701336,7219379,4.7
1700915,7221081,3.5
1705495,7214055,8.9
1704655,7216238,12.7
1708755,7214789,3.7
1707506,7216804,10.2
1709198,7223932,3.1
1701671,7223749,3.3
1704295,7224023,3.9
1703073,7221451,12.3
1706034,7220882,5.5
1706827,7222760,5.6
1709029,7221619,4.8
1711216,7221954,3.9
1711806,7224205,5.3
1713883,7224064,5.6
1716090,7224019,3.7
1713096,7221491,3.2
1711546,7218636,4.9
1713410,7218343,4.5
1709412,7219052,4.6
1707060,7219181,10.2
1704359,7219662,3.3
1708714,7212118,8
1724004,7221674,11.3
1724245,7224382,11.4
1720710,7224151,4.9
1718993,7218778,7.2
1724280,7215979,11.8
1716321,7219444,5.1
1716655,7216796,2.9
1722649,7213264,11.6
1720302,7213408,5.9
1717592,7213808,2.5
1713683,7215769,4.1
1714535,7213901,5.8
1711135,7214375,4.4
1675588,7226718,10
1678836,7226846,8.3
1682030,7226998,10.1
1677995,7231375,6.3
1679314,7229374,4.8
1683826,7226855,7.3
1684237,7228908,5.5
1686279,7226362,7.2
1681676,7233395,6.3
1683691,7231368,6.8
1682189,7229349,11.1
1678540,7245932,5.6
1682855,7243662,5.3
1676411,7241448,2.8
1675873,7239714,9.4
1675545,7231513,6.9
1676183,7229532,7.9
1675667,7236178,6.5
1676814,7233801,8.4
1679298,7233903,7.4
1681055,7231326,4.7
1677925,7236514,11.3
1680277,7235470,5.2
1684483,7233704,8.4
1683863,7236749,6.2
1681178,7238896,6.1
1686553,7235923,8
1686934,7238600,7.3
1683342,7246235,7.8
1685439,7240880,5.2
1685581,7244141,6.1
1687312,7241168,5.3
1688706,7244157,8.3
1688632,7246111,7.4
1679187,7241897,6.4
1678178,7244075,6.6
1675515,7244451,5
1675939,7246104,4.2
1676685,7248134,5.2
1678531,7248622,6.7
1690041,7241172,10.9
1690973,7243793,13.7
1687308,7248162,3.3
1690100,7248656,8.7
1693312,7246144,8.1
1692151,7247696,7.6
1694274,7248645,5.2
1696370,7247135,9.3
1698169,7245797,3.6
1696550,7243516,3.2
1698362,7243879,8.4
1698249,7241378,5.9
1692357,7241018,3.9
1694578,7243038,7.1
1694731,7241214,5.6
1696745,7238313,7.8
1698978,7237889,5.4
1698785,7236217,8.6
1699456,7233832,3.6
1693680,7238452,10.4
1695658,7235831,4
1697176,7233952,3.5
1698290,7228980,2.1
1696389,7231996,3.8
1698717,7231532,3.2
1699277,7225782,4.5
1697269,7226978,4.7
1691308,7238061,4.2
1692512,7236150,2.9
1693925,7234859,5.1
1690825,7246492,5.1
1692119,7233587,6.1
