ID,Na2O_wt%,S_ppm,Cu_ppm,Мо_ppm
А1,2.50,7500,1200,
А2,2.30,7000,1100,
АЗ,2.70,8200,1450,
А4,2.11,10500,1750,
А5,2.20,1000,1600,
Аб,2.20,6750,1450,
А7,2.50,32000,1800,
А8,1.75,24900,1330,
А9,2.60,9500,970,
A10,2.40,1500,230,
А11,2.30,1200,175,
А12,2.70,700,455,
В1,2.70,14500,1750,
В2,2.50,15000,1540,
В3,2.50,10050,1450,
В4,2.30,8700,1520,
С1,2.50,15200,1330,55
С2,2.20,19600,1750,53
С3,2.80,35000,1820,58
С4,2.70,30100,1490,39
С5,2.70,15200,1420,36
Сб,3.70,9900,390,
D1,3.10,1200,340,
D2,3.10,3300,280,
D3,3.50,3100,335,
D4,3.30,1300,310,
D5,3.60,2500,280,32
D6,3.20,4700,1760,50
D7,3.20,7700,1590,52
D8,2.70,7400,1840,47
D9,2.20,12150,1750,55
D10,3.70,4800,1270,
D11,3.90,12000,650,
G4,2.30,2900,190,
G5,2.60,4100,470,
G6,2.80,3900,280,
G7,2.80,4350,490,
G8,2.70,4200,520,
G9,2.30,4750,670,11
G10,0.03,13500,1490,37
G11,2.70,8900,850,
G12,3.50,8600,1250,
G13,3.60,31050,1470,
G14,3.10,35000,1375,
H1,2.70,1700,470,
H2,2.40,2800,290,
H3,2.10,1850,560,
H4,2.20,4700,530,
H5,3.70,6500,1455,
H6,3.70,5700,1490,
H7,4.50,8000,1380,
I1,2.50,4600,1750,
I2,2.60,3200,1620,
I3,2.10,3900,1820,
I4,4.30,14900,1950,
I5,4.70,14500,1760,
I6,2.70,14700,1560,
I7,2.50,4900,1700,
J1,2.20,4300,411,
J2,1.50,6700,530,
J3,2.10,3500,372,
K1,2.00,3900,112,
K2,2.30,3700,180,
K3,2.60,4900,295,
K4,2.50,6600,197,
K5,2.60,2700,230,
